title,companies,location,modality,description
Senior Data Analyst,PayFit France,"Barcelona, Catalonia, Spain",Hybrid,"
Get to know us
Do you want to help us shape what the future of work will look like and how it will best embrace our life's aspirations? If this sounds like a journey you want to embark on, we may have the right role for you!
PayFit is an intuitive cloud-based payroll and employee management solution designed specifically for SMBs. Since 2015, we have set ourselves a mission to simplify payroll for SMBs and enable employers and employees to grow together. We are a European company operating from 3 main countries (France, Spain, and the UK) where we are supporting over 9500 clients.
Creating a Fulfilling Work Environment And Culture Is Also a Core Mission At PayFit, And Our Day-to-day Work Philosophy Is Reflected In Our Four Values
Care 
We genuinely care for others whoever they are, whatever they think
Excellence 
We aim to improve and achieve better results every day
Humility 
Staying humble and exchanging transparent feedback helps us to grow and improve
Passion 
We are the architects of PayFit´s success
A key part of our culture, and essential for our success, is also improving the diversity of our teams and building an inclusive culture where you can be yourself at work.
This is why our recruitment focuses on the skills you demonstrate, and not only on your academic background or previous professional experiences. At PayFit we understand that you can gain applicable skills through a variety of life experiences and we are interested in knowing them, too.
About The Role
Get onboard of the PayFit rocket by joining our Data tribe composed of 4 teams : BI, Product Data Analytics, Analytics Engineering and Data Engineering.
This Senior Data Analyst role is part of BI team, where you will have a specific focus on CS (Customer Success) team needs, and will also be working on transversal projects that will impact all PayFit !
You Will Be Responsible For
 Working closely with the Head of Data and the CS Teams to identify problems, implementing solutions based on data and defining key success metrics Collecting, analyzing, and interpreting complex data sets to identify trends, patterns, and insights Designing and implementing data models to support analysis and reporting needs Creating visually appealing and interactive dashboards, reports, and presentations to effectively communicate findings to stakeholders Ensuring data accuracy, completeness, and reliability through data cleansing, validation, and governance techniques Proficiently managing and querying large databases, optimizing performance and efficiency Translating business requirements into actionable insights and presenting analysis results to both technical and non-technical stakeholders Collaborating with cross-functional teams to develop data strategies and make data-driven recommendations for strategic decision-making Applying advanced analytics techniques such as predictive modeling, machine learning, and data mining
This Role Is For You If
 You have 4+ years of experience in an analytical role You have a strong logic & business sense You are autonomous, self-starter, detail-oriented You are proactive, and have a problem-solving mindset You have strong communication skills You have strong analytical & data driven skills You have 3+ years working experience with SQL and data visualization tools You are fluent in English
It Would Be Great If Also
 You have experience with Looker You have experience with dbt You are familiar with a scripting language (Preferred: Python) You have experience with CS Analytics
If you think you would be a good fit even if you don't meet 100% of the requirements, we would love to hear from you!
Your Future Team
Together with your BI team members (2 Data Analysts), you will enable Analytics Engineers to develop metrics and will collaborate closely with key business stakeholders across PayFit.
Hiring Process
At PayFit, everyone will be given the same chance. To do so, here are the steps of the process :
 First you will meet a Talent Acquisition Specialist for a discovery call (30 min)
2 . Next step will be a meeting  with Aida , Head of Data, (45 min)
 You will then meet 2 Data Analysts : Tiago & Carla (60 min)
4 . You will meet François, Business stakeholder (45 min)
 The last step would be having a discussion with Sylvain, CPO (45 min)
What We Offer
Flexibility: We believe that to produce your best work and to be fulfilled, you should be free to choose what working arrangements suit you best. You can work from any place within Spain with the possibility to work abroad for some period of time.
Learning & Development: At PayFit we have a great learning platform where you can learn new skills every day with the support of our company. We also have English language courses to improve your business communication vocabulary and get to the next level.
Career Development: We want you to progress and be free to choose which direction you want to grow. There are also opportunities for internal moves.
Health promotion: Gym subscription (AndJoy) with a preferential rate.
Meals: 6 EUR lunch voucher per workday with our partner Edenred.
Transportation: 50 % of public transport card covered by PayFit .
Health Insurance: Full coverage on private insurance with Sanitas.
Parental support program: Support with a nursery for your child.
Home office budget to help you get set up in the best conditions. A MacBook as our standard working tool.
Time off: 25 days of holidays per year.
Disability Inclusion: All of our positions are open to any person living with a disability. To guarantee equal treatment and opportunities, we will take, based on individual needs, appropriate measures to adapt the work conditions of PayFiters with disabilities, and if needed also during the recruitment process.
 "
Data Scientist - Product Analytics ESP,Teladoc Health,"Barcelona, Catalonia, Spain",Hybrid,"
At Teladoc Health, we’re transforming the lives of people through whole person virtual care. You’ll have the benefit to positively impact the lives of hundreds of thousands (soon millions!) of people through personalized interventions to the right person at the right time.
As a Data Scientist, Product Analytics your main focus will be to measure member experience and guide product decisions, ultimately making Teladoc Health’s products more valuable, delightful and intuitive to our Members. We’re looking for someone with at least 2 years of experience in Data Analytics. In addition to technical data science skills, core competencies such as collaboration, decision-making, communication and flexibility will be key to your success.
This role offers the challenge and excitement of converting data analysis into real-life benefits. Come help us break new ground, while measurably improving lives and saving millions in healthcare costs.
Role and Responsibilities:-Provide insights about our products and member experience to inform Product teams for roadmap and feature decisions.-Conduct exploratory analysis and develop statistical models to answer key product usage and engagement questions.-Help Product and Marketing teams use experimentation (A/B testing) and cohorting to test assumptions and launch new marketing campaigns, features and product releases.-Partner with Product teams to define and benchmark metrics for new features launches and initiatives and help create a culture of measurement.
Requirements:-Strong experience with SQL, Power BI, and either R or Python. Expected to write good quality, 3+ years of work experience in product/data analytics or a related discipline.-Data science experience (SQL, Python, R) and familiarity with managing large data sets.-A general knowledge of machine learning approaches is a plus.-The ability to collaborate and communicate with Product Managers and help them craft hypotheses, and define and measure KPIs.-Confidence working with ambiguity, unknown variables, and missing context (and the ability to find ways to bridge those gaps when necessary).-A self-starter approach, with strong motivation and drive for excellence.-BS degree in Engineering, Computer Science or a related filed in lieu of degree, relevant work experience and/or trade school.

For a more detailed look at our company and values, visit our website at https://www.teladochealth.com/
At Teladoc Health we thrive on difference and individuality. Teladoc Health is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
 "
Analista de datos para para el Servicio de Movilidad (Bicing) - Barcelona,Serveo,"Barcelona, Catalonia, Spain",Hybrid,"
¿Quieres formar parte del equipo de Serveo? 

Si quieres que cada día sea diferente, enfrentándote a nuevos desafíos y formando parte de un equipo que te permita desarrollar todas tus capacidades, ¡sigue leyendo! En Serveo somos un referente en el desarrollo de soluciones integrales e innovadoras para infraestructuras públicas y privadas en sectores como transporte, salud, industria, facility management o energía. Sonreímos al cambio y afrontamos juntos cada nuevo reto, impulsando la excelencia de nuestros servicios con el objetivo de contribuir a la mejora de la sociedad. Con un equipo multidisciplinar formado por más de 27.000 profesionales, apostamos por la diversidad e inclusión en nuestros equipos y garantizamos la igualdad de oportunidades en todas nuestras iniciativas. Fomentamos el crecimiento de nuestros equipos en un extraordinario ambiente de trabajo que contribuye a impulsar el talento de quienes formamos parte de este gran proyecto. Despierta tu talento. Impulsa tu futuro. Supérate con nosotros. ¡Conócenos más entrando en: Personas | Serveo - Impulsores de un mejor futuro!
 ¿En qué consiste la vacante?
Buscamos un/a Analista de datos para el Servicio de Movilidad (Bicing) en Barcelona, cuya misión será dar soporte a los sistemas de datos de contratos de Bike Sharing recibidas a través de sus distintas fuentes.
Las principales funciones son las siguientes: 
Manipulación, transformación, modificación de los mismos (Proceso ETL)Consulta y obtención de datos según peticiones específicas (Enriquecimiento de datos en crudo para obtener insights relativos a mejoras en procedimientos del servicio, acciones de marketing, usuarios, trayectos, concentración de activos, evoluciones porcentuales, análisis de series temporales y tendencias). Pre-procesado y limpieza de datos.Cruce de distintas fuentes de datos para generar información relevante para el servicioInterpretación de resultados estadísticos (Medias, porcentajes, ratios, tendencias, estimaciones, proyecciones, predicciones y ritmo de evolución, muestreo)Gestión de Base de datos en Sharepoint y AzureCreación, mantenimiento y automatización de informes en Power BI Creación y mantenimiento de informes Word y ExcelAnálisis de fuentes de datos de movilidad en diferentes formatos y tablas.
¿Qué buscamos?

Formación Universitaria relacionada con el puesto (Informática, Telecomunicaciones, etc.) y/o Master en gestión de Big data y análisis de datosFormación experto en Power BiDeseable conocimientos en Base de datos (Azure, SQL) Nivel alto de inglés. Valorable Catalán Dominio de Paquete Office a nivel profesional: Excel, Word, OutlookConocimiento en el uso de herramientas para integración y confección de informes a medida.De 1 a 2 años de experiencia en puestos similares de analista de datos, gestión de informes y Big DataColaboración en equipo, actitud proactiva, gestión de proyectos y expectativa de cliente, trabajo bajo presión y deadlines
¿Qué te ofrecemos?
Contrato indefinido: te ofrecemos un proyecto a largo plazo en una empresa líder en servicios de infraestructuras.Flexibilidad para facilitar la conciliación entre la vida personal y profesional: Flexibilidad horaria de entrada y salida, jornada intensiva en verano y teletrabajo un día en semanaPaquete retributivo competitivo: Retribución total altamente competitiva en el sector, compuesta por una retribución fija más una retribución variable, ésta última en función de unos objetivos anuales que son acordados con el manager.Desarrollo y proyección profesional: a través de la participación en proyectos transversales, formación y movilidad interna.Excepcional ambiente de trabajo, en el que te sentirás como 'en familia' desde el primer día.
Si te gustan los retos y cumples con el perfil no dudes en inscribirte a nuestra oferta...
¡Tu futuro está en Serveo!
 "
Data Analyst,Quantion,Greater Barcelona Metropolitan Area,Hybrid,"
Who we areQuantion is a Business Digital Transformation services company born in 2015.Our services are based on a Digital Factory model. Through this model we help companies to accelerate its digital transformation projects with an end-to-end approach.
We have +120 professionals in application development, UX/UI and digital business transformation to build innovative solutions oriented to business results.
As a Digital Factory we combine our teams in cutting-edge technologies and digital deep experiences with the innovation ecosystem, to ensure that we can provide the best solution to face business challenges, from its concept to its implementation.
We are looking for a Data Analyst to join our Technology team. If you want to participate in one of our biggest International projects, don’t hesitate to apply!
What you will do: You will be responsible for designing, developing and maintaining data collection architecture, reports, metrics and analyses for different teamsYou will juggling all kinds of data, collect and analyze them and seek for patterns and trends to drive the digital acceleration and future customer experienceYou will utilize big data and business intelligence technologies to shape and drive key business decisions.You'll make analysis results accessible by building and providing dashboards and reports based on business needsYou closely align with business and management teams to assess business needsYou collaborate with the product teams to identify possibilities for improvement and adaptations regarding their digital productsYou will work pragmatically and support my team to deliver high quality solutions with speedYou will work in an international environment with a diverse teamYou will work in an international environment with a highly diverse team
Required skills:At least 2 years of experience as a Digital AnalystExperience in working in cross-functional teams in an agile environmentKnowledge of software-development processes, dependencies and digital products as well as methodologies and frameworks like Scrum and KanbanKnowledge of databases (e.g., SQL, NoSQL…), reporting tools (e.g. , Tableau) and cloud platforms (esp. Microsoft Azure)Ambition to master and not being intimidated by unstructured data and large datasetsWillingness to expand my comfort zone by sometimes leaving itVery good command of English language

Apply to our offer…💟 If you are passionate about technologies💟 If you define yourself as a team worker💟 If you want to work with a multidisciplinary and international team💟 If you want to be part of a company which is permanently expanding and growing💟 If you want to work in an international environment
Our offering:✨ Permanent contract✨ Competitive salary✨ 22 days of vacation✨ 5 additional holidays for Christmas✨ 4 additional holidays for Easter✨ Flexible working time✨ Continuous working days in summer
Committed to equality, at Quantion we believe in diversity and inclusion. We defend equal opportunities without discriminating based on gender, age, religion or sexual orientation or any other aspect that could be considered exclusive.
 "
Consultor/a Data Analytics (100% remoto posible),Deutsche Telekom,"Barcelona, Catalonia, Spain",Hybrid,"
En T-Systems somos un equipo de alrededor 28.000 personas en todo el mundo, convirtiéndonos en uno de los principales proveedores mundiales de soluciones integradas de extremo a extremo.En esta ocasión, queremos incorporar un/a especialista en procesos ETL y visualización de datos a nuestro equipo.🗺 Tendremos en cuenta candidaturas que se encuentren en cualquier punto de España. 👨‍💻¿Cuáles serán tus tareas?Diseñar, desarrollar y mantener procesos ETL con herramientas como SSIS, SSAS, SSRS y SQL Server.Diseñar los componentes visuales de la información contenida en el almacén de datos, con vistas a mejorar la experiencia de los usuarios en la visualización e interpretación del dato.Explotar las capacidades que ofrecen las herramientas de diseño de informes y los cuadros de mando.
🔎¿Qué buscamos?Unos tres años de experiencia con lenguajes SQL y herramientas ETL: Microsoft SQL Server Analysis Services (SSAS), Microsoft SQL Server Integration Services (SSIS), Microsoft SQL Server Reporting Services.Experiencia con cubos OLAP.Valoramos positivamente el conocimiento en Power BI y/u otras herramientas de reporting, así como en Azure.
🤲¿Qué ofrecemos?Contrato indefinidoFlexibilidad horariaSalario acorde a la experiencia y conocimientos aportadosFormación continuaPlan de Retribución Flexible: seguro médico, tickets restaurante, guardería, ayudas al transporte...Seguro de vida y accidentesMínimo de 27 días laborables de vacaciones anualesPago de facturas médicasServicio gratuito en especialistas (médicos, fisioterapeutas, nutricionistas, psicólogos, abogados...)Formación: certificaciones gratuitas, acceso a Coursera, clases semanales de inglés y alemán...100% del salario en caso de baja médica¡y muchas más ventajas por formar parte de T-Systems!
¡Únete a nuestro equipo! ¡Ven al lado magenta!
""T-Systems Iberia solo tratará los CVs de quienes reúnan los requisitos especificados para cada oferta.""
 "
Analista de Datos con MicroStrategy y Power BI (f/m),T-Systems Iberia,"Barcelona, Catalonia, Spain",Hybrid,"
En T-Systems somos un equipo de unas 28.000 personas en todo el mundo, lo que nos convierte en uno de los principales proveedores mundiales de soluciones integradas de extremo a extremo. Desarrollamos soluciones de nube híbrida, inteligencia artificial y promovemos la transformación digital de las empresas, la industria, el sector público y, en última instancia, la sociedad en su conjunto.
Nuestra alma es nuestra gente, que celebra la cultura de la innovación valiente y curiosa. No importa cuándo ni dónde trabajes. Se trata de hacer un trabajo que importe. Por eso nos esforzaremos al máximo para darte todas las oportunidades de desarrollo, ofreciéndote una red de apoyo, una gran tecnología, un nuevo entorno de trabajo y la libertad de trabajar de forma independiente.
Buscamos un/a Consultor/a en Visualización de Datos que realice las siguientes funciones:
Es responsable de diseñar los componentes de publicación visual de la información contenida en el almacén de datos, con el objetivo de mejorar la experiencia de las personas usuarias y de asegurar su correcta interpretación en la toma de decisiones.
Conoce las técnicas de visualización de datos y las capacidades que las herramientas de diseño de informes y cuadros de mando ofrecen para su puesta en práctica.
Profesional con conocimiento especializado en herramientas y tecnologías de visualización de datos responsable de implementar los componentes de publicación visual de la información contenida en el almacén de datos, con el objetivo de mejorar la experiencia de los usuarios/as y asegurar su correcta interpretación en la toma de decisiones.
Requisitos y competencias
Valoramos positivamente experiencia en Power BI y Microstrategy
¿Qué ofrecemos?
Puesto estable en un entorno de trabajo muy positivo, dinámico y motivado. Trabajo en equipo y eventos corporativos.Modelo híbrido con predominio del teletrabajo. Ubicación: Madrid, Barcelona, Reus, Valencia o Granada.Horario flexible.Formación continua.Plan de retribución flexible: seguro médico, tickets restaurante, guardería...Seguro de vida y accidentes.25 días laborables de vacaciones, más víspera de festivo¡y muchas más ventajas por formar parte de T-Systems!
¡Únete a nuestro equipo! ¡Ven al lado magenta!
T-Systems Iberia sólo tramitará currículums de candidatos que cumplan los requisitos especificados para cada oferta.
 "
Financial Data Analyst,"Americold Logistics, LLC.","Palau-solità i Plegamans, Catalonia, Spain",,"
                Americold provides temperature-controlled warehousing and transportation to food producers, restaurants, schools and retail outlets such as grocery stores. We're proud to provide an essential link in the food industry supply chain and to help put food on tables around the world.
Based in Atlanta, Georgia, Americold owns and operates temperature-controlled warehouses around the world. We have over 16,000 associates and offer a wide variety of career opportunities - from warehouse forklift operators and supervisors to accounting, administration, business development, customer support, engineering, transportation, and technology solutions positions.
Qualifications
 Qualifications & Experience: 
 Education, Training & Professional Experience: 
Bachelor's degree in Finance, Business, Economics, or Mathematics. MBA and/or certifications a plus. 3 - 5 years in financial analysis, pricing, or a logistics-related role with experience in system transformations. Highly proficient computer skills in Excel, Access, Word, PowerPoint, and Visio. Ability to work independently and take on ownership of projects. Experience in financial statement analysis and financial modeling. Experience with Customer Relationship Management tools (Salesforce, etc) strongly preferred. 
Knowledge & Employment Standards:
Proven problem-solving skills and ability to think creatively and strategically. Proven ability to communicate and present complex data in a persuasive and consultative manner- both written and verbal. Inherent strength in project management to meet aggressive deadlines. Ability to work in a fast-paced environment of positively changing expectations and culture. Must be naturally curious in nature and interested in finding the perfect solution to difficult problemsMust enjoy discussing and/or documenting project scope, approaches and status updatesMust be business savvy, possess financial acumen and demonstrate excellent communication skills both written and verbal. 
Responsibilities
Kindly be aware that this position is project-oriented, and a one-year contract will be provided.
Primary Responsibility:
Support project ORION (ERP Transformation) in harnessing data elements needed in centralized location to enable faster transition to new ERP, billing platform and Salesforce.com. Provide regular updates to key business information related to customer level metrics and data including, but not limited to, Customer profile, customer rates, customer revenue/billing, market intelligence, competitor data/information, etc..
Essential Functions:
Work with cross functional teams (Engineering, IT, FP&A, PMO, Transport, etc.) to build detailed KPI’s/metrics reporting to enable a better understanding of the business. Provide regular reporting on customer level data to primarily European central finance teams. Provide insights to enable data standardization across sites on key metrics. Act as Commercial Finance product owner in reporting system transformation projectOther duties and ad hoc analysis as requested.  The role requires a maximum of 40% travel.
 "
Junior Data Scientist,GFT Technologies,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,"
We are seeking a Junior Data Scientist with a keen interest in analytics, machine learning, and AI technologies. You'll join a team that's working on projects and proof of concepts involving natural language processing (NLP), generative AI use cases, chatbots, and computer vision. As a Junior Data Scientist, you will work closely with our multidisciplinary team to contribute to the design, implementation, and optimization of machine learning models.
Your main responsibilities will be: Assist in the design, development, and implementation of predictive models using machine learning algorithms.Contribute to projects involving NLP, generative AI, document processing, and computer vision.Participate in comprehensive data analysis and interpret data sets.Assist in the development of data collection processes and data management systems.Collaborate with cross-functional teams and present information and reports on findings to stakeholders.Contribute to fostering a growth-oriented environment through continuous learning and engagement with team members.
 Skills will help you to succeed: 1+ year of practical experience in data science or a related role, or relevant academic experience.Proficiency in Python and related data science tools.Familiarity with machine learning frameworks like TensorFlow or PyTorch.Exposure to or knowledge in any:NLP and document processing libraries (e.g., NLTK, spaCy, HuggingFace),Generative AI models and paid APIs (PaLM, ChatGPT),Computer vision models for classification, object detection and segmentation, or keypoint detection.Basic knowledge of data visualization.At least B2 level of English, written and spoken.
 Soft skills: Proactive.Fluent communication skills.Understanding of link between technical specialities and customer requirements.Keep abreast of market trends in technology.Solid analytical and problem-solving skills/investigating skills on technical matters.Well organised.Ability to identify problems and suggest mitigating and contingency actions.
Our offer:Competitive salary.Restaurant tickets and life insurance for every employee.The possibility of Working from Home in a hybrid model.Flexible compensation plan, according to your needs.Customized plan for professional development and training program.Technical certifications.Subsidized English / German / Spanish courses. Flexible working hours and short Fridays.Program to improve and promote a healthy lifestyle at work: a sports program and fresh fruit in the offices.International work culture.Discount with Gympass
At GFT we consider diversity as one of our main pillars and we foster an inclusive work environment based on cooperation and mutual respect. We offer equal opportunities for everyone regardless of race, cultural background, gender, age, sexual orientation, gender identity, disability or religious beliefs. GFT has drafted and registered an Equality Plan that outlines the measures to be taken with the aim of achieving equal treatment and opportunities between women and men within the company, and eliminating, if present, discrimination based on gender.
 Join our Global Team!
 "
Data Analyst - Tableau / PHARMA,Hays,"Barcelona, Catalonia, Spain",Hybrid,"
Hays is collaborating with the leading company in the pharmaceutical sector, TOP 10 pharma with more than 146 affiliates around the world and 47 employees, of which 1,600 are located in Spain.They create innovative medicines for people and animals, adding value through innovation for all three business areas: human pharmaceuticals, animal health, and contract manufacturing of biopharmaceuticals.
Now they are in the expansion phase and are developing the animal area. Our client is forming a technological hub that will serve the entire group internationally. This hub is located in San Cugat del Vallés.
We are looking for a Data Analyst - Tableau to join their Data team
What will your duties be?
Connect with different markets around the globe and understand their dataOrganize data in a way it can be used and analyzed in an efficient way across markets and stakeholdersAnalyze / interpret this data to extract business value andClear Communication of your findings to the stakeholdersDeliver according to high standards with regards to consistency, usability and qualityExtraction, Organization, Analysis and Reporting - Data/Business
Which are the ideal requirements?
5 years progressive work experience in data management and/or data modelling3+ years' experience in leading data projectsDemonstrated expertise in Business (Process) Analysis and defining KPIs to drive business performanceHighly skilled in SQL -Tableau- data visualization techniques or similar tools. Ability to negotiate and influence across a matrix & cross-functional organizationGood judgment in evaluating benefits and risks and providing sound recommendations.English fluentGood communication and mediation skills and Strong results orientation. Ability to plan and organize work. Observation, interviewing and listening skills.
What we offer?
Participate in international projects.Young and dynamic environment.Flexible Schedule. (from 8 to 17 hrs or from 9 to 18 hrs).Homeoffice.(2/3 days week).Buffet onsite.Location: Sant Cugat del Vallès (Barcelona)Contract by Hays in a long project (m.c. Indefinido).Salary depend on candidate´s experience

 We are waiting for profiles like yours, passionate about technology and who want to face a new challenge. If this is your case, sign up for the offer so we can tell you more!
 "
Data Insights Analyst - DCR,Schneider Electric,"Barcelona, Catalonia, Spain",Hybrid,"
                Do you dream of working in a company that is driven by a meaningful purpose? An inclusive company that empowers you to do your best and be innovative?
We are looking for a results-oriented Data Insights Analyst to own, analyze and provide insights across the Schneider Electric Digital platforms supporting our Digital Transformation to become a “Leading with Data” company. In this role, you will work with Digital Customer Relationship -DCR colleagues as well as key stakeholders in the Business, Countries, customer type leads, functional owners and others. The Data Insights Analyst outcomes can bring “light to the unknown” and be core to our transformation providing understanding on customer journey and engagement that will help businesses make informed decisions.
What you will do:
Analyze our customers digital interactions to translate data into business understanding.Work alongside business teams or the management team to establish business needs around customer data from their engagements.Be competent at both challenging (where necessary) and providing insights around the strategic evolution of customer engagement to ensure that this aligns to our Strategic Priorities.Use data and visualizations to create insights that tell a story that is compelling to drive change. Appreciate the customer journey, interactions and subsequent impact of any change.Understand the several business services usage by our customers and look for innovative Insights that reveals actions that can be taken to improve our business.Regularly deliver actionable insights, analyses and recommendations that shape and inform day-to-day online strategies and long-term optimizationInfluence stakeholders in relation to proposed changes to improve our customers digital experience and drive adoption.Work collaboratively with both the Insights Analytics colleagues and key DCR stakeholders to drive adoption of recommendations (based on insights) and subsequent completion / successful implementationPromote a culture of data driven decision-making. 
Skills and experience we’re looking for:
Bachelor’s degree in Business management, Business Analytics, Mathematics, Statistics, or other related technical field At least 2 years of relevant experience with data analysis tools and at least 2 years of relevant experience on analytical insightsAbility to collect and analyze website and customer data application metrics Working knowledge of Google Analytics, Contentsquare, Strong knowledge on Data Viz tools like Tableau, Looker, etc and creation of compelling content in PowerPoint.Good ETL/SQL Data retrieval skills/competenciesAbility to work independently and to proactively propose solutions while managing multiple projects simultaneously Analytical mind that translate to strong problem-solving skills and ability to investigate and resolve issues independently. Meticulosity with high attention to detail.Strong communication skills (verbal and written) with ability to write comprehensive reports with findings and proposed strategiesEasy to talk through data/technical details as well business layer details.
If you would like to have:
Exciting job in an international company, with opportunities to lead and contribute to different projects & actions (e.g. CSR, charity, Employer Branding, Well-Being) Work in a diverse and supportive team of professionalsBuddy, mentor & induction training - that will help you to smoothly find yourself in our companySpecial training tailored to your needs and career goalsNo formal dress code - we welcome people as they are and perceive diversity as value for the companyPossibility to use foreign languages and to collaborate with cross-region teamsWide choice of benefits 
Why us?
Schneider Electric is leading the digital transformation of energy management and automation. Our technologies enable the world to use energy in a safe, efficient and sustainable manner. We strive to promote a global economy that is both ecologically viable and highly productive.
€25.7bn global revenue
137 000+ employees in 100+ countries
45% of revenue from IoT
5% of revenue devoted for R&D
You must submit an online application to be considered for any position with us. This position will be posted until filled
It is the policy of Schneider Electric to provide equal employment and advancement opportunities in the areas of recruiting, hiring, training, transferring, and promoting all qualified individuals regardless of race, religion, color, gender, disability, national origin, ancestry, age, military status, sexual orientation, marital status, or any other legally protected characteristic or conduct. Concerning agencies: Schneider Electric does not accept unsolicited resumes and will not be responsible for fees related to such.
 "
Junior Data & Business Intelligence Support Specialist,Zurich Insurance,"Barcelona, Catalonia, Spain",Hybrid,"
Our opportunity 
We are seeking a Junior Data & Business Intelligence Support Specialist to join our Data & Business Intelligence organization within Group Operations Business Transformation.
In this role, you will be the first point of contact to our internal customers located worldwide supporting them in the usage of a range of applications in the area of Business Intelligence and Big Data Analytics.
Doing it you’ll work in close relation, and you’ll be supported by Application and Platform subject matter experts in order to provide incident resolutions, and service requests, while being exposed to multiple data technologies.
 Your role 
 As a Junior DBI Support Specialist your main responsibilities will involve 

 Perform standardized monitoring tasks of the technical platforms and applications, to ensure that the service levels and performance are met addressing or escalating performance or operational issues.  Manage incident escalations and complaints related to the technology layer, working with the Business Units to resolve individual service issues.  Collaborate with Application SMEs and Platform SMEs in the evolvement of standardized operational tasks.  Report service performance to line management and provide feedback on execution of standardized operational tasks to business.  Comply with IT service management governance, standards and polices  Provide input for service level performance reports to the business generating improvement actions where necessary.  Support the end-user satisfaction process and service improvement programs. 

Your Skills And Experience
 As a Junior DBI Support Specialist your skills and qualifications will ideally include: 

 University level education or equivalent  Over 0 -3 years of experience  Prior experience working in IT support or Business Intelligence role desirable  Effective communication.  Ability to work effectively in a global organization, under time pressure and to manage ambiguity  Prior experience working in a financial services environment desirable, preferably insurance.  Fluent in English (spoken and written). Further languages preferred  Availability to work on shifts 24/7 

Additional Information
 As well as a competitive salary and a yearly bonus we offer benefits package which includes: 

 Option to work remotely within Spain even up to 100% - you choose  Wide range of internal and external trainings  Free English, German and Spanish classes depending on the needs  Ticket restaurant  Life Insurance  Pension Plan - after 1 year in the company  Referral bonus if you bring other talented people like you  Special banking and insurance conditions  Exclusive Employees discounts 

Primary work location is Barcelona, Poblenou. Please apply with your CV in English by clicking on the button “Apply online”.
Who We Are
Looking for a challenging and inspiring work environment where you can make a difference? At Zurich millions of individuals and businesses place their trust in our products and services every day. Our 53,000 employees worldwide form the basis of our success, enabling, businesses and communities to face a world of risk with confidence. Imagine if you could help people do this all over the world. You’d give them confidence and reassurance by protecting what they love most. It’s a big challenge, but you will be supported by a world-class team who believe in helping you to reach your full potential and deliver on our promises.
 Diversity & Inclusion 
At Zurich we are an equal opportunity employer. We attract and retain the best qualified individuals available, without regard to race/ethnicity, religion, gender, sexual orientation, age or disability.
So be challenged. Be inspired. Help us make a difference.
Why Zurich
At Zurich, we like to think outside the box and challenge the status quo. We take an optimistic approach by focusing on the positives and constantly asking What can go right?
We are an equal opportunity employer who knows that each employee is unique - that’s what makes our team so great!
Join us as we constantly explore new ways to protect our customers and the planet .

 Location(s): ES - Barcelona  Remote working: Yes  Schedule: Full Time  Recruiter name: Antonia Maria Diaz Gomez
 "
